id,web_name,full_name,team_short,team_name,position,price,price_change_this_gw,price_change_season,status,chance_playing_this_round,chance_playing_next_round,news,news_added,total_points,event_points,points_per_game,form,ep_next,ep_this,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,defensive_contribution_per_90,influence,creativity,threat,ict_index,selected_by_percent,transfers_in_event,transfers_out_event,value_season,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,dreamteam_count
1,Raya,David Raya Martín,ARS,Arsenal,GKP,6.0,0.0,0.0,a,,,,,6,6,6.0,6.0,4.0,4.0,90,1,0,0,1,0,0,0,0,0,0,1,0,24,0.00,0.00,0.00,0.20,1,8,0,0,0.0,11.8,0.0,0.0,1.2,38.0,54411,39464,1.0,,,,0
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,ARS,Arsenal,GKP,5.0,0.0,0.0,a,,,,,0,0,0.0,0.0,2.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,190,759,0.0,,,,0
3,Meslier,Illan Meslier,ARS,Arsenal,GKP,5.0,0.0,0.0,a,,,,,0,0,0.0,0.0,2.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,65,291,0.0,,,,0
4,Gabriel,Gabriel dos Santos Magalhães,ARS,Arsenal,DEF,8.0,0.0,0.0,a,,,,,5,5,5.0,5.0,4.0,4.0,90,1,0,0,1,0,0,0,0,1,0,0,0,21,0.05,0.01,0.06,0.20,4,2,0,4,4.0,6.6,1.8,1.0,0.9,29.4,32625,62633,0.6,,,,0
5,J.Timber,Jurriën Timber,ARS,Arsenal,DEF,6.5,0.0,0.0,i,0,0,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,253,1930,0.0,,,,0
6,Saliba,William Saliba,ARS,Arsenal,DEF,6.0,0.0,0.0,i,0,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,563,4457,0.0,,,,0
7,Lewis-Skelly,Myles Lewis-Skelly,ARS,Arsenal,MID,5.5,0.0,0.0,a,,,,,3,3,3.0,3.0,2.0,2.0,90,1,0,0,1,0,0,0,0,0,0,0,0,15,0.06,0.11,0.17,0.20,1,5,1,7,7.0,11.0,22.9,7.0,4.1,0.7,5838,4809,0.5,,,,0
8,Calafiori,Riccardo Calafiori,ARS,Arsenal,DEF,5.5,0.0,0.0,a,,,,,9,9,9.0,9.0,2.5,2.5,80,1,0,1,1,0,0,0,0,0,0,0,0,31,0.04,0.09,0.13,0.06,4,1,1,5,5.62,26.0,12.2,4.0,4.2,41.0,194766,19784,1.6,,,,0
9,Hincapie,Piero Hincapié,ARS,Arsenal,DEF,5.5,0.0,0.0,a,,,,,1,1,1.0,1.0,2.5,2.5,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.15,0,0,0,0,0.0,0.4,0.5,0.0,0.1,1.6,2412,24753,0.2,,,,0
10,White,Benjamin White,ARS,Arsenal,DEF,5.5,0.0,0.0,a,100,100,,2026-07-23T12:01:23.305229Z,11,11,11.0,11.0,2.5,2.5,90,1,0,1,1,0,0,0,0,0,0,0,2,37,0.18,0.21,0.39,0.20,4,3,1,5,5.0,33.2,26.8,13.0,7.3,5.5,74117,9933,2.0,,,,0
