id,name,short_name,strength_overall,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,recent_form,recent_played,recent_wins,recent_draws,recent_losses,recent_goals_for,recent_goals_against,recent_clean_sheets
1,Arsenal,ARS,,0,0,0,0,WWWW,4,4,0,0,8,1,3
2,Aston Villa,AVL,,0,0,0,0,LLDL,4,0,1,3,1,7,1
3,Bournemouth,BOU,,0,0,0,0,LDDD,4,0,3,1,6,7,0
4,Brentford,BRE,,0,0,0,0,WDDD,4,1,3,0,7,4,1
5,Brighton,BHA,,0,0,0,0,WLDW,4,2,1,1,13,5,2
6,Chelsea,CHE,,0,0,0,0,WWLD,4,2,1,1,10,9,0
7,Coventry City,COV,,0,0,0,0,LLLL,4,0,0,4,0,10,0
8,Crystal Palace,CRY,,0,0,0,0,LLWL,4,1,0,3,6,11,0
9,Everton,EVE,,0,0,0,0,WDDD,4,1,3,0,5,3,2
10,Fulham,FUL,,0,0,0,0,LLLD,4,0,1,3,4,7,1
11,Hull City,HUL,,0,0,0,0,WWDD,4,2,2,0,5,2,3
12,Ipswich Town,IPS,,0,0,0,0,WLLW,4,2,0,2,7,10,0
13,Leeds,LEE,,0,0,0,0,WDDW,4,2,2,0,7,3,1
14,Liverpool,LIV,,0,0,0,0,DDWD,4,1,3,0,6,4,2
15,Man City,MCI,,0,0,0,0,WWWW,4,4,0,0,8,2,2
16,Man Utd,MUN,,0,0,0,0,LWDL,4,1,1,2,7,7,0
17,Newcastle,NEW,,0,0,0,0,DWDL,4,1,2,1,7,8,1
18,Nott'm Forest,NFO,,0,0,0,0,LDDW,4,1,2,1,4,4,1
19,Spurs,TOT,,0,0,0,0,LLDD,4,0,2,2,0,5,2
20,Sunderland,SUN,,0,0,0,0,LWDL,4,1,1,2,3,5,1
